locus	snps
1	2
2	5
3	3
4	5
5	2
6	3
8	0
9	4
10	3
12	1
13	1
14	1
15	4
16	4
17	4
20	3
21	1
22	2
23	5
24	4
25	3
28	5
29	2
30	1
31	2
32	1
33	12
35	2
36	4
37	1
38	3
39	2
40	6
41	1
43	1
45	1
46	0
47	2
48	1
50	3
52	3
53	2
54	0
55	0
57	4
60	2
61	3
62	1
63	1
64	1
65	3
66	2
68	4
70	2
71	3
72	0
75	2
77	6
78	3
80	5
82	1
83	2
84	1
85	2
86	5
88	0
89	3
90	1
93	4
94	4
95	1
96	2
97	2
98	2
99	4
100	4
101	1
102	1
103	3
104	4
106	0
107	2
108	1
109	2
110	3
114	1
115	4
118	2
120	3
121	1
122	0
124	1
125	0
126	6
127	2
129	2
130	1
131	4
132	0
134	5
135	4
136	3
137	1
138	2
141	3
143	3
144	2
145	1
147	0
148	3
149	3
151	1
152	0
154	0
156	2
157	0
160	0
162	2
163	6
167	2
169	3
170	2
171	1
172	1
173	4
174	1
175	4
176	3
177	1
178	4
180	0
181	3
182	6
184	3
186	1
187	5
188	2
190	1
191	3
192	3
193	3
195	2
196	1
199	2
200	2
201	1
203	2
204	1
205	2
206	0
207	1
208	0
209	1
210	1
211	4
213	5
214	1
215	3
216	5
217	3
219	3
221	2
222	1
224	4
225	3
226	3
227	1
228	3
229	4
231	5
233	3
236	2
237	1
238	3
240	4
241	5
242	0
243	3
246	1
247	4
249	3
250	1
252	2
254	2
255	5
256	4
257	1
258	1
259	5
260	0
262	3
264	3
265	2
266	2
267	2
269	0
270	1
271	11
273	3
274	1
275	2
278	1
279	1
280	5
281	1
283	5
284	3
286	2
287	2
288	8
289	2
290	2
291	8
292	0
293	5
294	5
296	0
297	3
299	10
303	5
304	0
305	2
307	0
308	2
309	3
310	2
311	2
312	3
313	1
314	1
315	0
316	2
317	1
319	2
320	3
321	0
322	4
325	3
326	3
327	3
328	5
329	4
330	5
332	5
333	2
334	2
335	2
338	7
339	5
340	1
341	3
342	4
344	6
345	1
346	5
347	2
349	8
351	3
353	0
354	2
356	6
357	4
359	3
360	0
361	1
362	1
363	3
364	3
365	2
367	5
368	3
370	0
371	3
372	1
373	1
374	5
375	3
376	2
377	3
379	2
381	4
382	1
383	2
384	3
385	2
386	0
389	10
391	3
392	3
393	3
394	5
397	3
398	2
401	2
403	1
405	3
406	4
408	3
409	2
411	1
413	5
414	1
415	3
417	4
419	2
420	3
421	2
422	5
423	0
424	2
426	1
428	2
429	2
430	3
432	7
433	4
435	1
436	4
437	0
439	4
440	1
442	0
443	1
445	2
446	3
447	1
448	0
449	6
450	3
451	0
453	2
454	1
455	2
456	4
457	1
458	0
459	3
462	1
464	4
465	1
466	1
468	2
469	0
470	2
473	0
474	3
476	0
477	1
479	2
480	1
481	6
482	1
484	2
485	2
486	2
487	0
488	3
489	4
490	0
491	0
493	4
494	7
499	3
502	1
504	1
505	3
506	1
508	0
509	2
510	2
511	3
513	5
515	2
516	10
517	1
518	2
519	0
521	3
522	4
525	4
526	3
527	3
528	3
529	0
530	0
531	5
532	4
533	5
534	2
535	2
537	8
538	0
539	3
540	2
541	1
542	2
547	2
548	0
549	1
551	1
552	4
553	3
554	1
555	5
556	3
557	0
558	0
559	3
560	3
561	5
562	1
565	4
566	4
567	2
568	4
569	3
570	3
573	1
575	1
576	4
577	4
579	0
580	8
581	2
585	3
588	3
589	0
590	1
592	4
595	2
596	1
597	5
600	2
601	7
603	0
604	3
605	2
606	1
609	8
610	3
611	0
615	3
616	4
620	0
622	0
624	3
625	0
626	2
629	4
630	1
631	3
633	0
634	2
635	1
637	5
641	1
643	6
644	5
645	1
646	1
648	2
649	2
651	0
652	2
653	2
654	2
655	1
656	0
659	1
662	5
663	2
667	1
672	4
673	0
674	0
675	2
676	1
678	2
680	4
681	1
682	7
684	3
685	1
686	2
687	1
688	1
690	1
692	3
693	0
695	2
696	0
698	4
699	5
700	2
701	0
702	0
703	2
705	0
708	5
709	0
710	1
712	8
713	0
715	3
716	3
717	3
718	4
719	3
721	2
725	1
726	2
727	3
728	0
731	4
732	2
736	1
737	5
739	1
740	5
741	3
742	4
744	3
745	3
748	1
749	2
751	0
752	4
753	0
754	4
756	1
757	6
758	5
759	2
761	3
763	2
764	1
765	3
766	4
768	6
769	1
772	2
773	3
774	2
775	3
777	0
778	0
779	1
780	4
781	1
785	0
787	3
789	0
790	1
791	2
792	1
795	6
796	7
797	3
799	2
800	3
802	3
803	2
805	3
807	11
808	1
810	2
812	2
813	1
814	3
815	1
816	3
817	2
818	1
819	3
821	1
822	3
823	4
824	3
825	0
826	3
828	0
830	3
831	10
832	3
833	0
836	3
839	3
841	2
842	1
843	2
844	2
845	0
846	1
847	1
848	1
850	3
851	4
852	2
853	2
854	3
855	1
856	1
857	2
858	2
859	2
860	1
861	0
862	2
863	6
864	7
865	4
866	5
867	1
868	2
870	3
871	2
873	1
874	1
875	2
876	1
877	2
879	2
880	2
881	7
882	1
883	5
884	2
886	1
887	2
888	2
889	0
890	2
891	4
892	3
893	6
894	1
895	4
897	1
898	0
899	5
900	0
903	2
904	2
906	2
907	4
908	0
909	0
910	2
913	5
914	4
915	1
916	0
919	2
920	5
921	4
922	3
923	5
924	2
925	4
926	2
927	4
928	2
929	4
930	1
931	4
933	1
934	4
935	0
936	1
937	3
941	2
943	0
944	1
946	2
947	2
948	1
950	3
951	3
952	4
954	5
956	5
957	13
959	4
960	6
961	7
962	5
963	4
964	4
965	4
966	1
967	2
968	2
969	2
970	2
971	5
972	3
973	1
974	2
976	3
977	2
978	1
979	5
980	3
981	5
982	0
983	4
984	3
986	1
987	0
989	1
990	0
991	2
992	4
993	2
996	6
997	7
998	4
999	1
1000	2
1001	0
1002	4
1003	2
1004	6
1005	6
1007	1
1008	0
1009	3
1010	1
1011	1
1013	0
1014	3
1016	6
1017	0
1022	2
1024	2
1025	1
1026	0
1027	2
1028	3
1029	6
1031	1
1032	3
1036	2
1037	1
1038	2
1040	2
1042	6
1043	3
1044	1
1046	1
1047	2
1049	2
1052	2
1053	2
1054	3
1055	2
1057	4
1060	12
1061	2
1062	4
1064	2
1065	1
1066	3
1067	2
1068	4
1070	0
1071	3
1072	0
1073	0
1074	1
1077	1
1078	4
1080	2
1081	3
1082	1
1083	5
1084	1
1085	3
1087	0
1089	0
1091	0
1092	3
1094	1
1095	1
1096	3
1097	1
1098	2
1099	0
1100	2
1102	1
1104	3
1105	1
1106	3
1109	3
1110	1
1113	2
1114	3
1115	0
1116	6
1117	2
1118	3
1121	1
1122	1
1123	4
1124	3
1125	4
1126	0
1127	1
1128	2
1129	2
1130	4
1131	0
1132	2
1133	2
1134	3
1135	8
1140	1
1141	1
1142	2
1144	0
1145	2
1146	2
1147	5
1149	3
1150	3
1151	1
1153	2
1155	4
1156	1
1157	1
1158	5
1160	0
1164	1
1167	2
1170	3
1171	3
1172	1
1173	2
1175	2
1176	1
1177	0
1179	3
1180	0
1181	1
1182	2
1184	4
1185	1
1186	1
1187	1
1190	1
1191	2
1192	4
1193	1
1197	1
1199	0
1202	7
1203	1
1205	0
1206	0
1207	1
1208	2
1209	4
1210	4
1211	3
1214	2
1215	0
1216	7
1217	1
1218	2
1219	2
1220	1
1221	4
1223	6
1224	2
1226	3
1228	2
1232	1
1233	5
1234	1
1235	2
1236	5
1238	3
1240	2
1243	1
1246	3
1247	2
1249	1
1251	1
1252	3
1253	3
1255	3
1256	1
1257	7
1258	5
1259	2
1260	3
1262	0
1264	3
1266	3
1267	1
1268	2
1270	1
1272	5
1273	2
1275	3
1276	0
1278	1
1279	1
1282	2
1283	0
1285	0
1286	3
1287	1
1288	3
1289	3
1290	1
1291	1
1292	2
1293	4
1294	1
1295	0
1296	1
1297	1
1298	0
1300	1
1301	3
1302	5
